band,inception,musician
Duran Duran,1978,Sterling Campbell
Wu-Tang Clan,1992,Raekwon
Shakatak,1980,Jill Saward
LMFAO,2006,Redfoo
Videosex,1983,Anja Rupel
Awolnation,2010,Aaron Bruno
Duran Duran,1978,Nick Rhodes
Duran Duran,1978,Stephen Duffy
Culture Club,1981,Boy George
Duran Duran,1978,Warren Cuccurullo
La Coka Nostra,2006,DJ Lethal
Crime & the City Solution,1977,Simon Bonney
Videosex,1983,Matjaž Kosi
Duran Duran,1978,Simon Le Bon
Buffalo Springfield,1966,Neil Young
Buffalo Springfield,1966,Stephen Stills
Buffalo Springfield,1966,Dewey Martin
Buffalo Springfield,1966,Bruce Palmer
Buffalo Springfield,1966,Richie Furay
Buffalo Springfield,1966,Jim Fielder
Buffalo Springfield,1966,Jim Messina
The Pogues,1982,Shane MacGowan
"Blood, Sweat & Tears",1967,Al Kooper
Buffalo Springfield,1966,Ken Koblun
The Shins,1996,James Mercer
Big Star,1971,Alex Chilton
Wu-Tang Clan,1992,Redman
Wu-Tang Clan,1992,Inspectah Deck
Wu-Tang Clan,1992,Method Man
BB Brunes,2006,Adrien Gallo
Wet Wet Wet,1982,Marti Pellow
Wu-Tang Clan,1992,Masta Killa
Wu-Tang Clan,1992,U-God
Wu-Tang Clan,1992,RZA
Arcade Fire,2001,Win Butler
Lovex,2001,Theon
Wu-Tang Clan,1992,Ghostface Killah
Cage the Elephant,2006,Matthew Shultz
The Kingston Trio,1957,Bob Shane
JYJ,2010,Kim Junsu
Wu-Tang Clan,1992,Gza
JYJ,2010,Kim Jae-joong
Wu-Tang Clan,1992,Ol' Dirty Bastard
LMFAO,2006,Sky Blu
Wu-Tang Clan,1992,Cappadonna
Duran Duran,1978,Andy Taylor
Duran Duran,1978,John Taylor
Duran Duran,1978,Roger Taylor
Gogol Bordello,1999,Eugene Hütz
Death Cab for Cutie,1997,Nathan Good
Fine Young Cannibals,1984,Roland Gift
Tame Impala,2007,Nick Allbrook
Blumfeld,1990,Jochen Distelmeyer
Nine Inch Nails,1988,Trent Reznor
Spandau Ballet,1979,Tony Hadley
Gossip,1999,Beth Ditto
Nine Inch Nails,1988,Atticus Ross
Backstreet Boys,1993,Kevin Richardson
Backstreet Boys,1993,Nick Carter
Backstreet Boys,1993,A. J. McLean
Bulutsuzluk Özlemi,1984,Sina Koloğlu
Bastille,2010,Dan Smith
Bastille,2010,Charlie Barnes
Gossip,1999,Hannah Blilie
Bulutsuzluk Özlemi,1984,Akın Eldes
Backstreet Boys,1993,Brian Littrell
O-Zone,1999,Rassada Music
Bulutsuzluk Özlemi,1984,Deniz Demiröz
Bastille,2010,Daniel Smith
Bulutsuzluk Özlemi,1984,Burak Güven
The Wedding Present,1985,Peter Solowka
Rainbow,1975,David Keith
Bulutsuzluk Özlemi,1984,Nejat Yavaşoğulları
Backstreet Boys,1993,Howie Dorough
Rainbow,1975,Jens Johansson
Rainbow,1975,Ritchie Blackmore
Death Cab for Cutie,1997,Jason McGerr
Bulutsuzluk Özlemi,1984,Gencay Kıymaz
Death Cab for Cutie,1997,Chris Walla
Death Cab for Cutie,1997,Nick Harmer
The Wedding Present,1985,David Gedge
Death Cab for Cutie,1997,Ben Gibbard
O-Zone,1999,Arsenie Todiraș
Bulutsuzluk Özlemi,1984,Sunay Özgür
Rainbow,1975,Ronnie Romero
ABB,1972,Agnetha Fältskog
Bastille,2010,Will Farquarson
Death Cab for Cutie,1997,Michael Schorr
O-Zone,1999,Dan Balan
Bastille,2010,"Chris ""Woody"" Wood"
Bastille,2010,Kyle Simmons
ABB,1972,Björn Ulvaeus
Muchachito Bombo Infierno,2005,Santos de Veracruz
Street Dogs,2002,Mike McColgan
Limbonic Art,1993,Krister Dreyer
The High-Lows,1995,Hiroto Kōmoto
Black River,2008,Tomasz Wróblewski
