inner,answer,object,name
ABBA,1972,Björn Ulvaeus,bands
Death Cab for Cutie,1997,Nathan Good,bands
Fine Young Cannibals,1984,Roland Gift,bands
Tame Impala,2007,Nick Allbrook,bands
Blumfeld,1990,Jochen Distelmeyer,bands
Nine Inch Nails,1988,Trent Reznor,bands
Spandau Ballet,1979,Tony Hadley,bands
Gossip,1999,Beth Ditto,bands
Nine Inch Nails,1988,Atticus Ross,bands
Backstreet Boys,1993,Kevin Richardson,bands
Backstreet Boys,1993,Nick Carter,bands
Backstreet Boys,1993,A. J. McLean,bands
Bulutsuzluk Özlemi,1984,Sina Koloğlu,bands
Bastille,2010,Dan Smith,bands
Bastille,2010,Charlie Barnes,bands
Gossip,1999,Hannah Blilie,bands
Bulutsuzluk Özlemi,1984,Akın Eldes,bands
Backstreet Boys,1993,Brian Littrell,bands
O-Zone,1999,Rassada Music,bands
Bulutsuzluk Özlemi,1984,Deniz Demiröz,bands
Bastille,2010,Daniel Smith,bands
Bulutsuzluk Özlemi,1984,Burak Güven,bands
The Wedding Present,1985,Peter Solowka,bands
Rainbow,1975,David Keith,bands
Bulutsuzluk Özlemi,1984,Nejat Yavaşoğulları,bands
Backstreet Boys,1993,Howie Dorough,bands
Rainbow,1975,Jens Johansson,bands
Rainbow,1975,Ritchie Blackmore,bands
Death Cab for Cutie,1997,Jason McGerr,bands
Bulutsuzluk Özlemi,1984,Gencay Kıymaz,bands
Death Cab for Cutie,1997,Chris Walla,bands
Death Cab for Cutie,1997,Nick Harmer,bands
The Wedding Present,1985,David Gedge,bands
Death Cab for Cutie,1997,Ben Gibbard,bands
O-Zone,1999,Arsenie Todiraș,bands
Bulutsuzluk Özlemi,1984,Sunay Özgür,bands
Rainbow,1975,Ronnie Romero,bands
ABBA,1972,Agnetha Fältskog,bands
Bastille,2010,Will Farquarson,bands
Death Cab for Cutie,1997,Michael Schorr,bands
O-Zone,1999,Dan Balan,bands
Bastille,2010,"Chris ""Woody"" Wood",bands
Bastille,2010,Kyle Simmons,bands
Duran Duran,1978,Sterling Campbell,bands
Wu-Tang Clan,1992,Raekwon,bands
Shakatak,1980,Jill Saward,bands
LMFAO,2006,Redfoo,bands
Videosex,1983,Anja Rupel,bands
Awolnation,2010,Aaron Bruno,bands
Duran Duran,1978,Nick Rhodes,bands
Duran Duran,1978,Stephen Duffy,bands
Culture Club,1981,Boy George,bands
Duran Duran,1978,Warren Cuccurullo,bands
La Coka Nostra,2006,DJ Lethal,bands
Crime & the City Solution,1977,Simon Bonney,bands
Videosex,1983,Matjaž Kosi,bands
Duran Duran,1978,Simon Le Bon,bands
Buffalo Springfield,1966,Neil Young,bands
Buffalo Springfield,1966,Stephen Stills,bands
Buffalo Springfield,1966,Dewey Martin,bands
Buffalo Springfield,1966,Bruce Palmer,bands
Buffalo Springfield,1966,Richie Furay,bands
Buffalo Springfield,1966,Jim Fielder,bands
Buffalo Springfield,1966,Jim Messina,bands
The Pogues,1982,Shane MacGowan,bands
"Blood, Sweat & Tears",1967,Al Kooper,bands
Buffalo Springfield,1966,Ken Koblun,bands
The Shins,1996,James Mercer,bands
Big Star,1971,Alex Chilton,bands
Wu-Tang Clan,1992,Redman,bands
Wu-Tang Clan,1992,Inspectah Deck,bands
Wu-Tang Clan,1992,Method Man,bands
BB Brunes,2006,Adrien Gallo,bands
Wet Wet Wet,1982,Marti Pellow,bands
Wu-Tang Clan,1992,Masta Killa,bands
Wu-Tang Clan,1992,U-God,bands
Wu-Tang Clan,1992,RZA,bands
Arcade Fire,2001,Win Butler,bands
Lovex,2001,Theon,bands
Wu-Tang Clan,1992,Ghostface Killah,bands
Cage the Elephant,2006,Matthew Shultz,bands
The Kingston Trio,1957,Bob Shane,bands
JYJ,2010,Kim Junsu,bands
Wu-Tang Clan,1992,Gza,bands
JYJ,2010,Kim Jae-joong,bands
Wu-Tang Clan,1992,Ol' Dirty Bastard,bands
LMFAO,2006,Sky Blu,bands
Wu-Tang Clan,1992,Cappadonna,bands
Duran Duran,1978,Andy Taylor,bands
Duran Duran,1978,John Taylor,bands
Duran Duran,1978,Roger Taylor,bands
Gogol Bordello,1999,Eugene Hütz,bands
Muchachito Bombo Infierno,2005,Santos de Veracruz,bands
