answer,dist1,dist2,conj_term1,conj_term2
action,killing,message,uxoricide,oversimplification
action,person,travel,uxoricide,wayfaring
action,person,communication,uxoricide,admission
action,killing,state,uxoricide,deforestation
action,person,travel,uxoricide,excursion
action,killing,tract,uxoricide,subdivision
action,killing,beginning,uxoricide,fertilization
action,killing,point,uxoricide,confluence
action,person,change,uxoricide,delivery
action,person,group,uxoricide,rally
action,killing,improvement,uxoricide,modernization
run,animal,group,hare,streak
dish,food,container,falafel,cocotte
dish,food,container,falafel,gravy boat
dish,food,object,falafel,argyll
dish,food,artifact,falafel,porringer
dish,food,object,falafel,tureen
dish,soup,artifact,borsch,cocotte
dish,soup,solid,borsch,tostada
dish,soup,sandwich,borsch,western
dish,soup,object,borsch,gravy boat
dish,food,artifact,borsch,argyll
dish,soup,solid,borsch,chili
weather,wind,cloud,levanter,fog
weather,wind,state,levanter,cloudiness
weather,wind,quality,levanter,sultriness
weather,wind,region,levanter,snow
weather,wind,control,levanter,lull
weather,wind,spread,levanter,drizzle
weather,wind,property,levanter,high
weather,wind,act,levanter,scorcher
weather,wind,change,levanter,freeze
weather,wind,object,levanter,hail
weather,wind,sound,levanter,boisterousness
plant,orchid,cactus,pogonia,mammillaria
plant,orchid,shrub,pogonia,multiflora
plant,orchid,tree,pogonia,ginkgo
plant,orchid,herb,pogonia,fumitory
plant,orchid,herb,pogonia,shortgrass
plant,flower,herb,pogonia,arrowroot
plant,orchid,herb,pogonia,achira
plant,flower,tree,pogonia,chaulmoogra
plant,orchid,herb,pogonia,tallgrass
plant,flower,tree,pogonia,brazilwood
plant,flower,herb,pogonia,bok choy
membrane,tissue,artifact,ependyma,drumhead
membrane,tissue,object,sclera,drumhead
membrane,tissue,artifact,lamella,drumhead
membrane,tissue,object,conjunctiva,drumhead
membrane,tissue,artifact,endometrium,drumhead
membrane,tissue,artifact,eardrum,drumhead
membrane,tissue,artifact,intima,drumhead
membrane,plant,artifact,iris,drumhead
membrane,organism,artifact,iris,diaphragm
membrane,tissue,artifact,pterygium,drumhead
membrane,tissue,artifact,mesocolon,drumhead
compound,chemical,change,guanine,synthesize
compound,substance,change,permanganate,synthesize
compound,salt,acid,permanganate,cyanamide
compound,salt,oxide,permanganate,firestone
compound,salt,polymer,permanganate,polystyrene
compound,salt,attack,permanganate,vitriol
compound,salt,part,permanganate,allomorph
compound,salt,polymer,permanganate,trimer
compound,salt,water,permanganate,condensate
compound,salt,payment,permanganate,soap
compound,chemical,change,digoxin,synthesize
condition,pathology,disorder,hemangioma,essential hypertension
condition,pathology,disease,hemangioma,osteosarcoma
condition,pathology,illness,hemangioma,enchondroma
condition,pathology,quality,hemangioma,orderliness
condition,pathology,quality,hemangioma,putrescence
condition,pathology,infection,hemangioma,amebiasis
condition,pathology,feeling,hemangioma,hopefulness
condition,pathology,disease,hemangioma,abetalipoproteinemia
condition,pathology,agent,hemangioma,herpes
condition,pathology,illness,hemangioma,neuroma
condition,pathology,ratio,hemangioma,morbidity
meat,sausage,object,frank,chicken
meat,sausage,mammal,frank,beef
meat,sausage,helping,frank,fillet
meat,sausage,bird,frank,wildfowl
meat,sausage,bird,frank,broiler
meat,sausage,artifact,frank,squab
meat,sausage,bird,frank,pheasant
meat,sausage,bird,frank,partridge
meat,sausage,animal,frank,duckling
meat,bird,sausage,poultry,chorizo
meat,bird,sausage,poultry,banger
district,act,country,mandate,fatherland
district,act,region,mandate,county
district,communication,state,mandate,commonwealth
district,communication,group,mandate,department
district,communication,organism,mandate,shire
district,document,state,mandate,preserve
district,communication,person,mandate,ward
district,document,shelter,mandate,quarter
district,country,communication,fatherland,reservation
district,country,group,fatherland,commune
district,country,house,fatherland,quarter
alloy,group,change,amalgam,steel
concept,representation,model,antitype,simulation
concept,representation,food,antitype,entree
concept,representation,change,antitype,quadruple
concept,representation,statement,antitype,version
concept,representation,property,antitype,texture
concept,representation,condition,antitype,fruition
concept,representation,state,antitype,villeinage
concept,representation,quality,antitype,excellence
concept,representation,artifact,antitype,foil
concept,representation,shape,antitype,perpendicular
concept,representation,quality,antitype,aspect
garment,act,organism,ironing,chiton
garment,activity,dress,ironing,coat
garment,act,animal,ironing,capuchin
garment,work,point,ironing,laundry
garment,event,coat,ironing,jerkin
garment,event,representation,ironing,cutaway
garment,activity,music,ironing,bolero
garment,event,coat,ironing,dolman
garment,work,coat,ironing,macintosh
garment,work,covering,ironing,cloak
garment,activity,water,ironing,hose
tract,activity,structure,center field,plaza
tract,event,site,center field,rough
tract,event,site,center field,monument
tract,activity,care,center field,garden
tract,road,collection,piste,grove
tract,road,site,piste,dump
tract,artifact,state,piste,hotbed
tract,artifact,site,piste,fairway
tract,road,site,piste,garbage heap
tract,road,field,piste,firebreak
tract,artifact,event,piste,clearing
transport,artifact,travel,wheel,sledge
transport,device,worker,wheel,porter
transport,artifact,act,wheel,airlift
transport,artifact,change,wheel,bring
transport,device,act,wheel,piggyback
transport,object,happening,wheel,tide
transport,object,change,wheel,freight
transport,artifact,travel,cart,sledge
transport,artifact,person,cart,porter
transport,artifact,action,cart,airlift
transport,object,change,cart,bring
cocktail,object,message,screwdriver,stinger
cocktail,message,object,stinger,sidecar
cocktail,communication,change,stinger,sour
symbol,letter,decoration,resh,oriflamme
symbol,letter,process,resh,swastika
symbol,communication,process,resh,insignia
symbol,signal,process,resh,caduceus
symbol,letter,spread,resh,mantle
symbol,signal,artifact,resh,chevron
symbol,communication,process,resh,horn of plenty
symbol,letter,award,resh,decoration
symbol,letter,process,resh,emblem
symbol,letter,series,resh,cordon
symbol,letter,process,resh,national flag
tooth,mammal,structure,canine,cog
tooth,tissue,structure,premolar,cog
tooth,tissue,artifact,incisor,cog
tooth,person,tissue,cog,chopper
tooth,artifact,tissue,cog,molar
tooth,person,bone,cog,tusk
activity,property,sport,avarice,fishing
activity,property,practice,avarice,badgering
activity,property,message,avarice,fabrication
activity,property,work,avarice,behalf
activity,property,work,avarice,papering
activity,property,work,avarice,thermotherapy
activity,property,trade,avarice,couture
activity,property,care,avarice,digitalization
activity,property,examination,avarice,proctoscopy
activity,property,feeling,avarice,aggravation
activity,property,care,avarice,diathermy
music,group,decoration,minstrelsy,motif
music,group,artifact,minstrelsy,jig
music,song,event,minstrelsy,ballet
music,group,section,minstrelsy,exordium
music,song,section,minstrelsy,sura
music,song,act,minstrelsy,flamenco
music,organization,section,minstrelsy,excerpt
music,group,act,minstrelsy,lullaby
music,organization,dish,minstrelsy,roulade
music,group,act,minstrelsy,impromptu
music,organization,section,minstrelsy,finale
maker,worker,object,baster,edger
maker,worker,food,baster,cobbler
maker,worker,artifact,baster,sewer
maker,shop,business,outfitter,manufacturer
maker,shop,food,outfitter,cobbler
maker,shop,pipe,outfitter,sewer
maker,object,beverage,edger,cobbler
maker,artifact,group,spinner,manufacturer
maker,object,food,spinner,cobbler
maker,business,alcohol,manufacturer,cobbler
maker,organization,object,manufacturer,sewer
drink,color,act,wine,gulp
drink,property,object,wine,tank
drink,property,helping,wine,frappe
drink,property,object,wine,nightcap
drink,alcohol,helping,wine,posset
drink,alcohol,helping,wine,milkshake
drink,property,helping,wine,libation
drink,food,person,wine,sundowner
drink,food,helping,wine,malted
drink,food,helping,wine,chaser
drink,beverage,helping,wine,quaff
change,mixture,dish,gel,mousse
change,substance,increase,gel,globalize
change,substance,increase,gel,concatenate
change,mixture,condition,gel,scorch
change,substance,state,gel,hypertrophy
change,substance,event,gel,faint
change,mixture,shape,gel,bulge
change,substance,communication,gel,sputter
change,substance,act,gel,socialize
change,substance,container,gel,deck
change,mixture,object,gel,dibble
joint,artifact,control,suture,stifle
joint,artifact,change,suture,hock
joint,object,control,juke,stifle
joint,artifact,change,juke,hock
joint,control,part,stifle,elbow
joint,control,change,stifle,hock
joint,part,change,elbow,hock
party,gathering,writing,sociable,rave
party,gathering,communication,shindig,rave
party,act,event,masquerade,rave
party,act,object,masquerade,levee
party,gathering,communication,housewarming,rave
party,group,event,soiree,rave
party,event,gathering,rave,gaudy
party,writing,message,rave,reception
party,communication,platform,rave,levee
party,event,group,rave,dance
party,event,group,rave,dinner
machine,device,person,jukebox,cyborg
machine,group,event,monotype,haymaker
machine,group,person,monotype,cyborg
machine,device,person,bandsaw,cyborg
machine,device,person,staple gun,cyborg
machine,object,person,handloom,cyborg
machine,artifact,person,ramjet,cyborg
machine,device,person,enginery,cyborg
machine,device,person,turbine,cyborg
machine,artifact,person,slide rule,cyborg
machine,device,person,quipu,cyborg
grape,plant,fruit,muscat,sultana
grape,organism,fruit,muscat,emperor
grape,vine,fruit,vinifera,sultana
grape,vine,fruit,vinifera,emperor
grape,plant,fruit,malvasia,sultana
charge,message,transfer,imputation,impeach
charge,process,quality,imputation,lodgment
charge,transfer,message,impeach,blame
charge,transfer,message,impeach,incrimination
charge,transfer,statement,impeach,plaint
charge,transfer,message,impeach,reproach
charge,transfer,message,impeach,indictment
charge,transfer,statement,impeach,accusation
charge,transfer,message,impeach,lodgment
charge,transfer,communication,impeach,libel
charge,transfer,event,impeach,imprecation
tree,organism,shape,shagbark,stemma
tree,plant,shape,shagbark,cladogram
tree,plant,shape,ginkgo,stemma
tree,plant,shape,ginkgo,cladogram
tree,object,shape,osier,stemma
tree,object,shape,osier,cladogram
tree,plant,shape,pipal,stemma
tree,plant,shape,pipal,cladogram
tree,organism,shape,chaulmoogra,stemma
tree,organism,shape,chaulmoogra,cladogram
tree,object,shape,matai,stemma
ship,action,person,icebreaker,whaler
seed,organism,artifact,carob,mast
seed,plant,solid,carob,bean
seed,plant,substance,hazelnut,walnut
seed,food,organism,coconut,pistachio
seed,food,herb,coconut,amaranth
seed,food,organism,coconut,corn
seed,food,organism,coconut,rye
seed,organism,substance,cumin,pyrene
seed,herb,material,cumin,walnut
seed,tree,vine,pistachio,soy
seed,compound,herb,pyrene,amaranth
cloud,object,weather,cirrus,fog
cloud,object,change,cirrus,haze
cloud,object,weather,aerosol,fog
cloud,object,change,aerosol,haze
cloud,weather,change,fog,haze
body,group,object,ulema,person
body,activity,state,prelacy,membership
body,act,organization,prelacy,militia
body,event,team,prelacy,varsity
body,event,building,prelacy,ministry
body,activity,dress,prelacy,gown
body,act,artifact,prelacy,university
body,event,organization,prelacy,college
body,activity,organization,prelacy,corps
body,event,object,prelacy,person
body,event,system,rabbinate,judiciary
alcohol,food,liquid,rickey,ergosterol
alcohol,food,substance,rickey,cyclohexanol
alcohol,food,liquid,rickey,cholesterol
alcohol,food,substance,rickey,glycerol
alcohol,beverage,liquid,rickey,methanol
alcohol,beverage,liquid,rickey,diol
alcohol,food,liquid,rickey,sterol
alcohol,food,substance,rickey,propanol
alcohol,beverage,substance,kava,ergosterol
alcohol,food,liquid,kava,cyclohexanol
alcohol,food,substance,kava,cholesterol
clergyman,professional,food,lector,bishop
clergyman,scholar,support,pluralist,shepherd
clergyman,wine,care,bishop,shepherd
dress,garment,act,chemise,hat
dress,object,change,chemise,try on
dress,artifact,change,chemise,prank
dress,garment,change,chemise,habit
dress,garment,change,chemise,costume
dress,covering,activity,shoe,habit
dress,container,clothing,shoe,kirtle
dress,hat,garment,bonnet,coat
dress,artifact,act,bonnet,habit
dress,activity,garment,hat,shirt
dress,event,covering,hat,jacket
meal,group,furniture,banquet,buffet
meal,group,act,banquet,refreshment
meal,dish,beverage,barbecue,tea
meal,dish,artifact,barbecue,buffet
meal,dish,group,barbecue,supper
meal,dish,party,barbecue,dinner
meal,beverage,furniture,tea,buffet
meal,beverage,group,tea,supper
meal,artifact,action,buffet,refreshment
meal,furniture,gathering,buffet,supper
meal,object,gathering,buffet,dinner
hole,object,shape,hawse,stoma
hole,object,opening,hawse,micropyle
