person,child
Bruce Willis,Rumer Willis
Arnold Schwarzenegger,Joseph Baena
Barack Obama,Sasha Obama
Arnold Schwarzenegger,Patrick Schwarzenegger
Arnold Schwarzenegger,Katherine Schwarzenegger
Ella Fitzgerald,"Ray Brown, Jr."
Albert II,Jazmin Grace Grimaldi
Bill Clinton,Chelsea Clinton
Chuck Norris,Mike Norris
Arnold Schwarzenegger,Christopher Schwarzenegger
Barack Obama,Malia Obama
Willoughby Newton,John B. Newton
Albert II,"Prince Jacques, Hereditary Prince of Monaco"
Paul Simon,Adrian Edward Simon
Paul Simon,Lulu Simon
Paul Simon,Gabriel Elijiah Simon
Patti Smith,Jesse Smith
Arnold Schwarzenegger,Christina Schwarzenegger
Stevie Wonder,Aisha Morris
Quentin Tarantino,1
Duke Ellington,Mercer Ellington
Stevie Wonder,Keita Morris
Bob Dylan,Jakob Dylan
Patti Smith,Jackson Smith
Tara Strong,Sammy Strong
Grace Kelly,Albert II
Woody Guthrie,Arlo Guthrie
Meryl Streep,Mamie Gummer
Meryl Streep,Henry Wolfe Gummer
Albert Einstein,Eduard Einstein
Michael Jackson,Paris Jackson
Michael Jackson,"Prince-Michael Joseph Jackson, l"
Meryl Streep,Grace Gummer
Meryl Streep,Louisa Gummer
Woody Guthrie,Nora Guthrie
Madonna,Rocco Ritchie
Bob Dylan,Jesse Dylan
George W. Bush,Barbara Pierce Bush
Tara Strong,Aden Strong
Albert Einstein,Hans Albert Einstein
Michael Jackson,Prince Michael Jackson II
Charles Lindbergh,Jon Lindbergh
Jack Bauer,Kim Bauer
Grace Kelly,Princess Stéphanie of Monaco
Albert Einstein,Lieserl Einstein
David Lynch,Jennifer Lynch
George W. Bush,Jenna Bush Hager
Madonna,Stella Ciccone
Carl Sagan,Nick Sagan
John Bardeen,James M. Bardeen
Tom Hanks,Chet Hanks
Tom Hanks,Truman Hanks
Madonna,David Banda Mwale Ciccone Ritchie
Charles Lindbergh,Charles Augustus Lindbergh Jr.
Elvis Presley,Lisa Marie Presley
Tom Hanks,Colin Hanks
Carl Sagan,Dorion Sagan
Carl Sagan,Jeremy Sagan
Abraham Lincoln,Edward Baker Lincoln
Michael Bloomberg,Georgina Bloomberg
Bruce Springsteen,Jessica Springsteen
Stanley Kubrick,Vivian Kubrick
Madonna,Mercy James
Charles Lindbergh,Anne Lindbergh
Madonna,Esther Ciccone
Michael Bloomberg,Emma Bloomberg
Grace Kelly,"Princess Caroline, Princess of Hanover"
Bruce Willis,Talulah Willis
Abraham Lincoln,Tad Lincoln
Tom Hanks,Elizabeth Hanks
Madonna,Lourdes Leon
Albert II,Alexandre Coste
Albert II,Princess Gabriella of Monaco
Abraham Lincoln,Robert Todd Lincoln
Charles Lindbergh,Reeve Lindbergh
Abraham Lincoln,William Wallace Lincoln
Bruce Willis,Scout Willis
Carl Sagan,Sasha Sagan
Paul Simon,Harper Simon
Andrew Johnson,Andrew (Frank) Johnson
Steven Spielberg,Max Spielberg
Steven Spielberg,Sawyer Spielberg
Franklin Delano Roosevelt,Anna Roosevelt Halsted
Franklin Delano Roosevelt,James Roosevelt
Pete Sampras,Christian Sampras
Kurt Cobain,Frances Bean Cobain
Martin Luther King Jr.,Martin Luther King III
Steven Spielberg,Jessica Capshaw
Lyndon B. Johnson,Lynda Bird Johnson Robb
"""Weird Al"" Yankovic",Nina Yankovic
Franklin Delano Roosevelt,Elliott Roosevelt
Pete Sampras,Ryan Sampras
Franklin Delano Roosevelt,Franklin Delano Roosevelt Jr.
Noam Chomsky,Aviva Chomsky
Henry Ford,Edsel Bryant Ford
Frank Herbert,Brian Herbert
Douglas Shearer,Mark Shearer
Franklin Delano Roosevelt,John Aspinwall Roosevelt
Steven Spielberg,Sasha Spielberg
Franklin Delano Roosevelt,Franklin Delano Roosevelt
Steven Spielberg,Theo Spielberg
Douglas Shearer,Stephen Shearer
Thomas Alva Edison,William Leslie Edison
Thomas Alva Edison,Charles Edison
Gerald Ford,Michael Gerald Ford
Richard Nixon,Julie Nixon Eisenhower
Marge Simpson,Maggie Simpson
Thomas Alva Edison,Madeleine Edison Sloane
Thomas Alva Edison,Marion Estelle Edison Oeser
Gerald Ford,Steven Ford
Homer Simpson,Maggie Simpson
Ronald Reagan,Ron Reagan
John F. Kennedy,Patrick Bouvier Kennedy
Marge Simpson,Bart Simpson
Marge Simpson,Lisa Simpson
Marge Simpson,Hugo Simpson
Andrew Johnson,Robert Johnson
Ronald Reagan,Maureen Reagan
Ronald Reagan,Michael Reagan
Dwight D. Eisenhower,Doud Eisenhower
Andrew Johnson,Martha Johnson
Andrew Johnson,Mary Johnson
John F. Kennedy,Caroline Kennedy
Dwight D. Eisenhower,John Eisenhower
Homer Simpson,Bart Simpson
Homer Simpson,Lisa Simpson
Andrew Johnson,Charles Johnson
Homer Simpson,Hugo Simpson
Thomas Alva Edison,Theodore Miller Edison
John F. Kennedy,John F. Kennedy Jr.
Gerald Ford,John Gardner Ford
Walt Disney,Diane Disney Miller
Gerald Ford,Susan Ford
Richard Nixon,Tricia Nixon Cox
Thomas Alva Edison,Thomas Alva Edison jr.
John McCain,Sidney McCain
Ronald Reagan,Patti Davis
John F. Kennedy,Arabelle Kennedy
Gordon Jennings,John D. Jennings
John McCain,James R D McCain
John McCain,John Sidney McCain IV
Martin Luther King Jr.,Dexter Scott King
Martin Luther King Jr.,Yolanda King
Martin Luther King Jr.,Bernice King
John McCain,Meghan McCain
Lyndon B. Johnson,Luci Baines Johnson
John McCain,Bridget McCain
Ronald Reagan,Christine Reagan
Martin Van Buren,John Van Buren
William Henry Harrison,Benjamin Harrison
Martin Van Buren,Abraham Van Buren
Britney Spears,Jayden Federline
Rashad Khalifa,Sam Khalifa
John Quincy Adams,George Washington Adams
John Quincy Adams,John Adams II
William Henry Harrison,William Henry Harrison
Cher,Chaz Bono
Cher,Elijah Blue Allman
Millard Fillmore,Mary Abigail Fillmore
James Monroe,James Spence Monroe
George Soros,Alexander Soros
William Henry Harrison,Carter Bassett Harrison
John Quincy Adams,Louisa Catherine Adams
Rudolf Diesel,Eugen Diesel
Franklin Pierce,Frank Robert Pierce
Tina Fey,Penelope Athena Richmond
Zachary Taylor,Margaret Smith Taylor
Tina Fey,Alice Zenobia Richmond
Martin Van Buren,unnamed son Van Buren
Martin Van Buren,Smith Thompson Van Buren
William Henry Harrison,John Scott Harrison
Jason Sudeikis,Otis Sudeikis
Bernard Madoff,Andrew Madoff
Bernard Madoff,Mark Madoff
Michelle Obama,Sasha Obama
Grey DeLisle,Tex Hammond
William Henry Harrison,Anna Tuthill Harrison
William Henry Harrison,Elizabeth Bassett Harrison
William Henry Harrison,James Findlay Harrison
William Henry Harrison,John Cleves Symmes Harrison
William Henry Harrison,Lucy Singleton Harrison
William Henry Harrison,Mary Symmes Harrison
Kevin Costner,Lily Costner
Michelle Obama,Malia Obama
John Tyler,"John Tyler, Jr."
John Tyler,Letitia Tyler Semple
John Tyler,Elizabeth Tyler
John Tyler,Julia Gardiner Tyler
Thomas Jefferson,Jane Randolph Jefferson
John Tyler,John Alexander Tyler
Thomas Jefferson,Eston Hemings
John Tyler,Lyon Gardiner Tyler
Louis C.K.,Mary Székely
Thomas Jefferson,Martha Jefferson Randolph
John Tyler,Robert Tyler
Thomas Jefferson,Madison Hemings
Phoebe Cates Kline,Owen Kline
Phoebe Cates Kline,Frankie Cosmos
John Tyler,David Gardiner Tyler
Thomas Jefferson,Mary Jefferson Eppes
Louis C.K.,Kitty Székely
Kevin Costner,Joe Costner
Thomas Jefferson,Harriet Hemings
Franklin Pierce,Benjamin Pierce
James Madison,John Payne Todd
Andrew Jackson,Lyncoya Jackson
Franklin Pierce,Franklin Pierce
Andrew Jackson,Andrew Jackson Donelson
Britney Spears,Sean Federline
Zachary Taylor,Richard Taylor
Andrew Jackson,Daniel Smith Donelson
Angelina Jolie,Maddox Chivan Jolie-Pitt
John Tyler,Mary Tyler
John Tyler,Alice Tyler
John Tyler,Ann Contesse Tyler
John Tyler,Lachlan Tyler
John Tyler,Pearl Tyler
John Tyler,Robert FitzWalter Tyler
John Tyler,Tazewell Tyler
Thomas Jefferson,Lucy Elizabeth Jefferson
Thomas Jefferson,Mary (Maria) Jefferson
Thomas Jefferson,unnamed son Jefferson
Zachary Taylor,Ann Mackall Taylor
Martin Van Buren,Martin Van Buren
James Monroe,Maria Hester Monroe Gouverneur
Zachary Taylor,Octavia Taylor
George Soros,Andrea Soros
John Quincy Adams,"Charles Francis Adams, Sr."
Angelina Jolie,John Jolie-Pitt
Zachary Taylor,Sarah Knox Taylor
Ron Paul,Rand Paul
Zachary Taylor,Mary Elizabeth Bliss
George Soros,Jonathan Soros
George Soros,Gregory Soros
George Soros,Robert Soros
James Monroe,Eliza Kortright Monroe Hay
Millard Fillmore,Millard Powers Fillmore
John McEnroe,Emily McEnroe
John McEnroe,Kevin John McEnroe
John McEnroe,Sean McEnroe
Thomas Jane,Harlow Jane
George H. W. Bush,Pauline Robinson Bush
Donald Trump,Donald Trump Jr.
Letitia Christian Tyler,"John Tyler, Jr."
Lizard,Billy Connors
Al Gore,Karenna Gore Schiff
Letitia Christian Tyler,Letitia Tyler Semple
Leonard Nimoy,Julie Nimoy
Letitia Christian Tyler,Elizabeth Tyler
Larry David,Cazzie David
Marc Anthony,Emme Muñiz
Anton LaVey,Karla LaVey
Anton LaVey,Zeena Schreck
Mike Shinoda,Otis Shinoda
Donald Trump,Ivanka Trump
George H. W. Bush,Jeb Bush
Mike Pence,Charlotte Pence
Walter White,Walter White Jr.
George H. W. Bush,Dorothy Bush Koch
Al Gore,Kristin Gore
Donald Trump,Tiffany Trump
John von Neumann,Marina von Neumann Whitman
Humphrey Bogart,Stephen Humphrey Bogart
Letitia Christian Tyler,Robert Tyler
Anton LaVey,Satan Xerxes Carnacki LaVey
Larry David,Romy M. David
Lionel Richie,Nicole Richie
Woody Allen,Bechet Dumaine Allen
John Kerry,Alexandra Kerry
Christopher Nolan,Rory Nolan
Christopher Nolan,Flora Nolan
Christopher Nolan,Magnus Nolan
Woody Allen,Ronan Farrow
Paul Thomas Anderson,Pearl Anderson
Woody Allen,Moses Farrow
Woody Allen,Manzie Tio Allen
John Kerry,Vanessa Kerry
Letitia Christian Tyler,Mary Tyler
Letitia Christian Tyler,Alice Tyler
Letitia Christian Tyler,Ann Contesse Tyler
Letitia Christian Tyler,Tazewell Tyler
Ernest Hemingway,Jack Hemingway
Kanye West,Chicago West
Kanye West,North West
Kanye West,Psalm West
Kanye West,Saint West
Bryan Cranston,Taylor Dearden
Robert F. Kennedy,David Kennedy
Jimmy Carter,Jack Carter
William Van Horn,Noel Van Horn
Bruce Lee,Brandon Lee
Orson Welles,Michael Lindsay-Hogg
Robert F. Kennedy,Kathleen Kennedy Townsend
Robert F. Kennedy,Douglas Harriman Kennedy
Jimmy Carter,Amy Carter
Orson Welles,Rebecca Welles
Soong May-ling,Chiang Ching-kuo
Ernest Hemingway,Gregory Hemingway
Ernest Hemingway,Patrick Hemingway
Robert Mitchum,Christopher Mitchum
Robert F. Kennedy,Kerry Kennedy
Robert F. Kennedy,Mary Kerry Kennedy
Robert F. Kennedy,Joseph P. Kennedy II
Robert F. Kennedy,Michael LeMoyne Kennedy
Bruce Lee,Shannon Lee
Orson Welles,Beatrice Welles
Chester Bennington,Tyler Bennington
Robert F. Kennedy,"Robert F. Kennedy, Jr."
Steve Jobs,Lisa Brennan-Jobs
Henry Fonda,Jane Fonda
Henry Fonda,Peter Fonda
Steve Jobs,Erin Sienna
Steve Jobs,Reed Paul
Robert F. Kennedy,Christopher G. Kennedy
Robert F. Kennedy,Max Kennedy
Robert F. Kennedy,Rory Elizabeth Katherine Kennedy
Robert F. Kennedy,Rory Kennedy
Robert F. Kennedy,Courtney Kennedy Hill
Leonard Nimoy,Adam Nimoy
George H. W. Bush,George W. Bush
George H. W. Bush,Marvin P. Bush
Steve Jobs,Eve Jobs
Rob Kardashian,Dream Kardashian
Kobe Bryant,Gianna Bryant
Kobe Bryant,Natalia Bryant
George Clooney,Ella Clooney
George H. W. Bush,Neil Bush
Robert F. Kennedy,Christopher George Kennedy
Robert F. Kennedy,Mary Courtney Kennedy
Robert F. Kennedy,Matthew Maxwell Taylor Kennedy
Edward Douglass White,Edward Douglass White
Jimmy Carter,James Earl Carter III
Jimmy Carter,Jeffrey (Donnel) Carter
Donald Trump,Barron Trump
John Crittenden,Robert Crittenden
Donald Trump,Eric Trump
George Clooney,Alexander Clooney
Cy Twombly,Alessandro Cyrus Twombly
Maria Carolina of Austria,Q75296361
Maria Carolina of Austria,Princess Maria Antonia of Naples and Sicily
