person,spouse
Chester A. Arthur,Ellen Lewis Herndon Arthur
Stella Adler,Harold Clurman
Annie Cruz,Jack Lawrence
Tulsi Gabbard,Eduardo Tamayo
Alektra Blue,Pat Myne
Ashley Blue,Dave Naz
LeBron James,Savannah Brinson
Thomas Mann,Katia Mann
Scarlett Johansson,Ryan Reynolds
Lucile Quarry Mann,William M. Mann
Tulsi Gabbard,Abraham Williams
Linus Torvalds,Tove Torvalds
Vernon Orlando Bailey,Florence Augusta Merriam Bailey
Anne Hathaway,Adam Shulman
Stella Adler,Mitchell A. Wilson
Scarlett Johansson,Romain Dauriac
Warren G. Harding,Florence Harding
James A. Garfield,Lucretia Garfield
Woodrow Wilson,Edith Bolling Galt Wilson
Jackie Chan,Lin Feng-jiao
Ulysses S. Grant,Julia Grant
Vladimir Nabokov,Véra Nabokov
Mark Zuckerberg,Priscilla Chan
Elizabeth Taylor,Mike Todd
Elizabeth Taylor,Richard Burton
Charles Bronson,Jill Ireland
William M. Mann,Lucile Quarry Mann
Woodrow Wilson,Ellen Axson Wilson
Emmy Rossum,Justin Siegel
Gwyneth Paltrow,Chris Martin
Calvin Coolidge,Grace Coolidge
Aria Giovanni,John 5
William McKinley,Ida Saxton McKinley
George Peppard,Elizabeth Ashley
George Peppard,Sherry Boucher
Elizabeth Taylor,Michael Wilding
Benjamin Harrison,Mary Dimmick Harrison
Benjamin Harrison,Caroline Harrison
Emmy Rossum,Sam Esmail
Elizabeth Taylor,Eddie Fisher
Alexander Wetmore,Annie Beatrice van der Biest Thielan Wetmore
Benjamin Franklin,Deborah Read Franklin
Alexander Graham Bell,Mabel Gardiner Hubbard
Elizabeth Taylor,"Conrad Hilton, Jr."
Brad Pitt,Jennifer Aniston
Isaac Asimov,Janet Asimov
Grover Cleveland,Frances Folsom Cleveland Preston
Elizabeth Taylor,Larry Fortensky
Robert De Niro,Grace Hightower
Brad Pitt,Angelina Jolie
William Howard Taft,Helen Herron Taft
Gwyneth Paltrow,Brad Falchuk
Theodore Roosevelt,Alice Hathaway Lee Roosevelt
Marlon Brando,Movita Castaneda
Marlon Brando,Tarita Teriipaia
Muhammad Ali,Sonji Roi
Theodore Roosevelt,Edith Roosevelt
Whitney Houston,Bobby Brown
Diana Ross,Berry Gordy
Diana Ross,"Arne Næss, Jr."
Rutherford B. Hayes,Lucy Webb Hayes
Muhammad Ali,Khalilah Ali
Muhammad Ali,Veronica Porsche Ali
Muhammad Ali,Yolanda Williams
Beyoncé,Jay-Z
Herbert Hoover,Lou Henry Hoover
Robert De Niro,Diahnne Abbott
Marlon Brando,Anna Kashfi
George Pataki,Libby Pataki
Humphrey Bogart,Mary Philips
Franklin Pierce,Jane Pierce
Cher,Gregg Allman
John Quincy Adams,Louisa Adams
William Henry Harrison,Anna Harrison
Judy Garland,Vincente Minnelli
Britney Spears,Kevin Federline
Lee Hills,Argentina Hills
Humphrey Bogart,Helen Menken
Nikki Haley,Michael Haley
Bernard Madoff,Ruth Madoff
Marissa Mayer,Zachary Bogue
Britney Spears,Jason Allen Alexander
Tina Fey,Jeff Richmond
Nelson Rockefeller,Happy Rockefeller
Clarence Thomas,Kathy Ambush
Humphrey Bogart,Lauren Bacall
George Soros,Tamiko Bolton
Jason Sudeikis,Kay Cannon
Dwayne Johnson,Dany Garcia
Bill Hader,Maggie Carey
Meredith L. Patterson,Len Sassaman
Andrew Cuomo,Kerry Kennedy
Grey DeLisle,Murry Hammond
Millard Fillmore,Caroline C. Fillmore
Clarence Thomas,Virginia Lamp Thomas
Lindsey Vonn,Thomas Vonn
Humphrey Bogart,Mayo Methot
Susan Polgar,Paul Truong
Michelle Obama,Barack Obama
Axl Rose,Erin Everly
Chris Evert,John Lloyd
Phoebe Cates Kline,Kevin Kline
Chris Evert,Greg Norman
Kanye West,Kim Kardashian
Chris Evert,Andy Mill
Scrooge McDuck,Goldie O'Gilt
Ruth Bader Ginsburg,Martin D. Ginsburg
Lil Wayne,Antonia Wright
Liza Minnelli,Peter Allen
Scrooge McDuck,Brigitta McBridge
"Jon Huntsman, Jr.",Mary Kaye Huntsman
Kevin Costner,Cindy Costner
Dwight D. Eisenhower,Mamie Eisenhower
Harry S. Truman,Bess Truman
John Tyler,Julia Gardiner Tyler
John Tyler,Letitia Christian Tyler
John Roberts,Jane Sullivan Roberts
Louis C.K.,Alix Bailey
Liza Minnelli,"Jack Haley, Jr."
Kevin Costner,Christine Baumgartner
Bruce Lee,Linda Lee Cadwell
Angelina Jolie,Brad Pitt
Henriette Avram,Herbert Avram
James K. Polk,Sarah Childress Polk
Margo Seltzer,Keith Bostic
Ronald Reagan,Nancy Reagan
Barbara Simons,James Harris Simons
Carl Barks,Garé Barks
Eliot Spitzer,Silda Wall Spitzer
Thomas Jefferson,Martha Jefferson
Tony Romo,Candice Crawford
Andrew Jackson,Rachel Jackson
Beck,Marissa Ribisi
Liza Minnelli,David Gest
Manuela M. Veloso,José M. F. Moura
James Madison,Dolley Madison
David Paterson,Michelle Paige Paterson
John McCain,Carol McCain
Ronald Reagan,Jane Wyman
Leonard Nimoy,Susan Bay
Annie Antón,Peter Swire
James Monroe,Elizabeth Monroe
