subject,predicate,object,source,validity
dog,/r/CapableOf,corner cat,conceptnet,always true
Melbourne MacDowell,hypernym,person,wikidata,always true
stud,meronym,mouth,wordnet/conceptnet,always true
Fred Zinnemann,hypernym,person,wikidata,always true
barn,meronym,room,wordnet/conceptnet,always true
Romania,hypernym,country,wikidata,always true
Nata Zhyzhchenko,band member,ONUKA,wikidata,always true
Tina Sinatra,spouse,Wes Farrell,wikidata,always true
Rebecca Luker,hypernym,person,wikidata,always true
Lois Anne Anastasio,hypernym,person,wikidata,always true
baboon,meronym,eye,wordnet/conceptnet,always true
survivor,hypernym,person,wordnet/conceptnet,always true
wren,meronym,mouth,wordnet/conceptnet,always true
Beth Phoenix,spouse,Edge,wikidata,always true
vertebrate,/r/IsA,chordate,conceptnet,always true
Wayne,headquarter,Teleflex,wikidata,always true
Michael J. Brown,CEO,Euronet Worldwide,wikidata,always true
Unicorn Store,hypernym,movie,wikidata,always true
Mark D. Millett,CEO,Steel Dynamics,wikidata,always true
Sally Eilers,hypernym,person,wikidata,always true
Old Time Relijun,hypernym,band,wikidata,always true
farmhouse,meronym,bathroom,wordnet/conceptnet,always true
coop,meronym,doorway,wordnet/conceptnet,always true
George Crumb,hypernym,person,wikidata,always true
Men in Black II,hypernym,movie,wikidata,always true
Jukka Soldan,band member,Haloo Helsinki!,wikidata,always true
Cambridge,headquarter,Biogen,wikidata,always true
Nancy Louise,child,John George Alexander Leishman,wikidata,always true
Rodney O. Martin Jr.,CEO,Voya Financial,wikidata,always true
cholera,hypernym,disease,wordnet/conceptnet,always true
EOG Resources,hypernym,company,wikidata,always true
Erastus Bradley,spouse,Laura Ross Wolcott,wikidata,always true
peacock,meronym,cell,wordnet/conceptnet,always true
boat,meronym,anchor,wordnet/conceptnet,always true
William Cagney,spouse,Boots Mallory,wikidata,always true
William A. Furman,CEO,Greenbrier Cos.,wikidata,always true
blackbird,hypernym,bird,wordnet/conceptnet,always true
livestock,meronym,eye,wordnet/conceptnet,always true
budgerigar,meronym,head,wordnet/conceptnet,always true
animal,meronym,lip,wordnet/conceptnet,always true
hyena,meronym,brain,wordnet/conceptnet,always true
2013,release year,Starred Up,wikidata,always true
Dallas,headquarter,Builders FirstSource,wikidata,always true
Helen Clay Chase,child,J. Fife Symington Jr.,wikidata,always true
Robert Ellis,spouse,May Allison,wikidata,always true
stoat,meronym,clapper,wordnet/conceptnet,always true
Franklin D'Olier,hypernym,person,wikidata,always true
Eeshwar Nivas,director,Dum,wikidata,always true
beret,hypernym,commodity,wordnet/conceptnet,always true
A Haunting at Silver Falls: The Return,hypernym,movie,wikidata,always true
Securian Financial Group,hypernym,company,wikidata,always true
Fred Fisher,hypernym,person,wikidata,always true
snail,meronym,brain,wordnet/conceptnet,always true
peritonitis,hypernym,inflammation,wordnet/conceptnet,always true
bee,meronym,mouth,wordnet/conceptnet,always true
Woody Woodpecker,hypernym,movie,wikidata,always true
cricket,meronym,face,wordnet/conceptnet,always true
Corin Tucker,band member,Sleater-Kinney,wikidata,always true
Dave Keuning,band member,The Killers,wikidata,always true
hamster,meronym,organelle,wordnet/conceptnet,always true
Byron Howard,director,Bolt,wikidata,always true
woodlouse,meronym,thorax,wordnet/conceptnet,always true
Robert J. Dennis,CEO,Genesco,wikidata,always true
chemical,/r/IsA,material,conceptnet,always true
mentor,hypernym,person,wordnet/conceptnet,always true
Misako Uno,band member,AAA,wikidata,always true
Red Christmas,hypernym,movie,wikidata,always true
tyrannosaurus,meronym,face,wordnet/conceptnet,always true
face,meronym,clapper,wordnet/conceptnet,always true
Tanveer Khan,director,Deadline: Sirf 24 Ghante,wikidata,always true
gallery,meronym,doorstep,wordnet/conceptnet,always true
alder,hypernym,wood,wordnet/conceptnet,always true
Annie,child,Carl Reiner,wikidata,always true
Abigail May Alcott Nieriker,child,Amos Bronson Alcott,wikidata,always true
judge,hypernym,individual,wordnet/conceptnet,always true
Lee Mavers,band member,The La's,wikidata,always true
gorilla,meronym,chin,wordnet/conceptnet,always true
centipede,meronym,nucleus,wordnet/conceptnet,always true
Frank G.,child,Frank Wisner,wikidata,always true
tyrannosaurus,meronym,tail,wordnet/conceptnet,always true
Polly Platt,spouse,Peter Bogdanovich,wikidata,always true
honeybee,meronym,cell,wordnet/conceptnet,always true
Kobun Shizuno,director,GODZILLA City on the Edge of Battle,wikidata,always true
Derrick Henry,child,Derrick Norman Lehmer,wikidata,always true
Lavinia Norcross Dickinson,child,Emily Norcross,wikidata,always true
Gajendra Ahire,director,The Silence,wikidata,always true
Sebastián Marcelo Wainraich,hypernym,movie,wikidata,always true
octopus,meronym,nucleus,wordnet/conceptnet,always true
2016,release year,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,wikidata,always true
2007,release year,Life in a ... Metro,wikidata,always true
Rhonda Ross Kendrick,child,Berry Gordy,wikidata,always true
Miwa Yoshida,band member,Dreams Come True,wikidata,always true
koala,hypernym,mammal,wordnet/conceptnet,always true
Kristin Kontrol,band member,Dum Dum Girls,wikidata,always true
band,hypernym,decoration,wordnet/conceptnet,always true
Conjuring Spirit,hypernym,movie,wikidata,always true
Maiya Williams,spouse,Patric Verrone,wikidata,always true
Wojciech Waglewski,band member,Voo Voo,wikidata,always true
Fastenal,hypernym,company,wikidata,always true
John Nicks,spouse,Yvonne Littlefield,wikidata,always true
Natasha Borzilova,band member,Bering Strait,wikidata,always true
cab,meronym,ceiling,wordnet/conceptnet,always true
Joshua Logan,spouse,Barbara O'Neil,wikidata,always true
Midland,headquarter,DowDuPont,wikidata,always true
namesake,hypernym,person,wordnet/conceptnet,always true
rail,hypernym,barrier,wordnet/conceptnet,always true
ADP,hypernym,company,wikidata,always true
Being Napoleon,hypernym,movie,wikidata,always true
Into Another,hypernym,band,wikidata,always true
melon,hypernym,fruit,wordnet/conceptnet,always true
giraffe,meronym,face,wordnet/conceptnet,always true
Adele Astaire,hypernym,person,wikidata,always true
DST Systems,hypernym,company,wikidata,always true
Michael Sterling Eaton,hypernym,person,wikidata,always true
denim,meronym,skirt,wordnet/conceptnet,always true
William Lukens Elkins,hypernym,person,wikidata,always true
orchid,meronym,organelle,wordnet/conceptnet,always true
Harriet Ogden Welles,hypernym,person,wikidata,always true
Michael Epstein,director,John & Yoko: Above Us Only Sky,wikidata,always true
cautery,hypernym,instrument,wordnet/conceptnet,always true
cod,meronym,lip,wordnet/conceptnet,always true
rabbit,meronym,chest,wordnet/conceptnet,always true
2015,release year,The Trust,wikidata,always true
PRA Health Sciences,hypernym,company,wikidata,always true
2000,release year,Space Cowboys,wikidata,always true
Delirium,hypernym,movie,wikidata,always true
restaurant,meronym,keyhole,wordnet/conceptnet,always true
Toukie Smith,hypernym,person,wikidata,always true
Kenneth Tobey,spouse,June Hutton,wikidata,always true
Julien Christian Lutz,director,Across The Line,wikidata,always true
Mary Sheldon Barnes,child,Edward Austin Sheldon,wikidata,always true
hotel,hypernym,building,wordnet/conceptnet,always true
Brit McAdams,director,Katt Williams: American Hustle (The Movie),wikidata,always true
meteorologist,meronym,cell,wordnet/conceptnet,always true
Derek Hui,director,This Is Not What I Expected,wikidata,always true
Gerald T.,child,John Horrigan,wikidata,always true
Centene,hypernym,company,wikidata,always true
Ray Barretto,band member,Fania All-Stars,wikidata,always true
submarine,meronym,sonar,wordnet/conceptnet,always true
James Stillman,child,William Goodsell Rockefeller,wikidata,always true
2015,release year,Fifty,wikidata,always true
Eliza Roxcy Snow,hypernym,person,wikidata,always true
Textron,hypernym,company,wikidata,always true
A.O. Smith,hypernym,company,wikidata,always true
Anders Gustafsson,CEO,Zebra Technologies,wikidata,always true
